name,epic_number,aadhaar_number,phone,constituency
Ravi Kumar,ABC1234567,123456789000,9876543210,Hyderabad
Diya Reddy,ABC1234568,123456789001,9876543211,Visakhapatnam
Rohan Kumar,ABC1234569,123456789002,9876543212,Vijayawada
Sneha Patel,ABC1234570,123456789003,9876543213,Guntur
Arun,ABC1234571,123456789004,9876543214,chennai
Raj,ABC1234572,123456789005,9876543215,Secunderabad
Venella,ABC1234573,123456789006,9876543216,Hyderabad
Pooja,ABC1234574,123456789007,9876543217,Vijayawada
Neha,ABC1234575,123456789008,9876543218,Rayalaseema
Ram,ABC1234576,123456789009,9876543219,Visakhapatnam
Rishi,ABC1234577,123456789010,9876543220,Hyderabad
Varun,ABC1234578,123456789011,9876543221,Hyderabad
Charan,ABC1234579,123456789012,9876543222,chennai
Siri,ABC1234580,123456789013,9876543223,chennai
Dinesh,ABC1234581,123456789014,9876543224,Hyderabad
Kanishk,ABC1234582,123456789015,9876543225,chennai
